type,model,created_at,usage_input,usage_output
third,model2,15.03.2024,2788,6692
second,model2,29.02.2024,6246,5287
third,model1,10.01.2024,5405,530
second,model2,11.04.2024,5651,6498
first,model1,08.01.2024,8651,5014
first,model2,29.02.2024,7932,9219
third,model2,19.01.2024,3049,2591
first,model3,11.04.2024,2878,5625
second,model2,19.02.2024,5712,7065
second,model2,12.02.2024,8945,6065
third,model3,28.02.2024,9082,71
first,model3,23.02.2024,5806,4782
first,model1,31.01.2024,2205,5631
third,model3,24.01.2024,7915,1073
first,model3,13.01.2024,9273,9882
first,model2,01.01.2024,3191,3543
third,model3,18.04.2024,1602,7158
second,model3,14.04.2024,7174,4698
second,model3,06.01.2024,5510,6841
second,model2,17.02.2024,7119,2305
third,model3,08.01.2024,9429,4919
second,model1,03.03.2024,8110,6246
second,model2,03.01.2024,5153,1952
third,model3,08.04.2024,2533,4576
second,model3,12.05.2024,5905,2989
first,model3,22.01.2024,4864,5385
second,model3,08.04.2024,9319,7086
third,model2,25.03.2024,9854,7840
second,model1,12.02.2024,399,3811
third,model3,22.03.2024,7775,1512
first,model2,05.03.2024,714,7805
third,model3,12.05.2024,1066,5016
second,model3,23.03.2024,2892,3056
first,model2,08.03.2024,9376,4178
second,model2,01.05.2024,3469,5282
first,model2,01.01.2024,9416,9976
third,model2,25.02.2024,4022,3856
second,model1,15.04.2024,8653,5163
third,model2,18.03.2024,7833,9631
second,model2,16.05.2024,3671,9730
first,model1,02.02.2024,1202,1798
second,model3,23.02.2024,1924,2810
second,model1,02.04.2024,9039,5212
third,model3,26.01.2024,9937,7206
third,model1,21.01.2024,3510,8655
second,model2,05.01.2024,3242,63
first,model2,02.01.2024,9567,2043
second,model1,18.02.2024,4395,2469
third,model1,01.04.2024,6511,108
third,model1,29.04.2024,2916,1414
first,model2,25.04.2024,8070,4073
first,model3,27.04.2024,7025,2498
first,model2,10.05.2024,1453,5852
third,model2,16.02.2024,8218,857
second,model3,04.01.2024,2320,9814
first,model2,08.05.2024,6136,2336
third,model1,20.01.2024,1039,6548
second,model2,19.01.2024,7963,2814
first,model3,07.05.2024,6231,3776
first,model3,01.03.2024,8364,8309
second,model3,12.05.2024,3299,2649
first,model3,12.03.2024,2047,9619
third,model1,07.02.2024,2598,8648
third,model3,12.04.2024,9937,1075
first,model2,13.03.2024,5808,30
first,model3,09.04.2024,9539,1194
second,model3,11.05.2024,6563,8246
first,model1,30.01.2024,2297,1504
third,model2,06.02.2024,734,9680
first,model1,10.03.2024,6483,558
second,model2,30.04.2024,977,9219
first,model2,24.03.2024,312,8429
second,model3,16.01.2024,5975,9489
first,model2,12.05.2024,2988,4446
first,model1,20.01.2024,7011,9610
second,model2,11.02.2024,3680,3899
first,model2,18.03.2024,3429,5997
third,model1,29.02.2024,6089,5412
first,model2,13.02.2024,6254,909
third,model3,08.05.2024,7162,6430
third,model1,31.03.2024,2630,3771
second,model1,18.04.2024,2648,1969
second,model2,18.04.2024,5963,6090
third,model1,19.03.2024,7817,6170
first,model3,08.02.2024,3144,1153
second,model1,11.03.2024,8699,9764
third,model1,21.02.2024,3780,1929
third,model1,27.03.2024,9152,9006
first,model1,13.01.2024,8058,8320
second,model2,17.02.2024,393,17
second,model2,16.02.2024,9252,4943
second,model3,01.05.2024,7315,2263
second,model3,09.01.2024,5335,4258
third,model3,22.02.2024,1105,9186
first,model3,13.01.2024,1177,4272
first,model2,28.01.2024,2639,6403
third,model3,18.03.2024,2944,9009
second,model2,24.01.2024,4434,7009
first,model1,20.03.2024,2345,453
first,model1,18.01.2024,5320,1031
third,model3,28.03.2024,6143,1574
first,model1,08.04.2024,1752,7581
first,model1,23.02.2024,545,3245
first,model2,16.04.2024,4493,2338
first,model1,14.01.2024,8704,9641
second,model1,13.01.2024,6075,7749
third,model1,02.02.2024,6053,8072
third,model2,26.02.2024,965,6868
second,model3,06.05.2024,376,3675
third,model1,22.04.2024,6437,4984
second,model3,21.03.2024,5184,5350
third,model1,29.04.2024,3174,495
second,model1,08.03.2024,861,3874
third,model3,09.01.2024,1100,9678
third,model2,01.03.2024,3904,479
third,model3,15.03.2024,3971,1934
second,model3,16.01.2024,2736,4770
second,model2,01.04.2024,2261,1795
third,model1,26.01.2024,1634,5719
first,model3,09.03.2024,628,3001
second,model1,13.04.2024,6274,4818
second,model1,13.02.2024,8510,1004
first,model3,17.04.2024,7157,8663
first,model1,02.01.2024,2667,4759
second,model1,07.02.2024,2474,5717
second,model1,12.05.2024,810,2119
second,model1,18.03.2024,9315,8057
second,model3,22.02.2024,5244,9551
first,model2,09.05.2024,2561,6076
third,model1,08.03.2024,5897,2754
second,model1,16.04.2024,4291,6196
first,model1,09.01.2024,424,1795
second,model1,19.02.2024,6862,2871
second,model3,12.02.2024,901,8315
first,model2,07.04.2024,4289,1894
second,model1,29.02.2024,9748,9968
third,model1,04.03.2024,1007,321
first,model2,03.03.2024,5452,4011
second,model1,19.01.2024,3825,4428
second,model2,26.02.2024,9316,4530
third,model2,13.03.2024,4713,7760
first,model1,27.01.2024,6542,4694
first,model1,10.01.2024,4536,9540
third,model2,05.05.2024,4278,3030
third,model2,10.01.2024,7352,3731
first,model3,03.01.2024,5822,537
third,model2,31.03.2024,895,8508
second,model1,09.02.2024,341,4333
first,model2,05.03.2024,4140,954
second,model1,22.03.2024,6687,5991
first,model2,03.04.2024,5144,4411
second,model1,06.03.2024,6390,4438
third,model3,21.03.2024,9914,331
third,model2,21.02.2024,668,6323
first,model2,13.05.2024,7076,8013
third,model1,14.05.2024,851,8439
first,model3,26.02.2024,9746,7093
second,model2,21.03.2024,1849,3953
first,model3,27.04.2024,4492,4087
first,model2,27.03.2024,5360,1424
first,model2,01.05.2024,381,7111
third,model1,07.01.2024,9800,7931
first,model2,05.02.2024,2817,9609
second,model1,06.03.2024,2857,8739
second,model3,13.05.2024,2891,3924
third,model1,12.01.2024,8106,1057
first,model1,06.05.2024,8,1393
second,model3,08.02.2024,2323,1289
third,model2,01.03.2024,7321,7530
third,model3,08.05.2024,4611,8504
third,model2,23.02.2024,1883,3565
first,model3,23.03.2024,1364,7765
third,model3,04.03.2024,8802,9333
third,model3,09.05.2024,2699,4901
first,model3,15.04.2024,8952,4777
first,model1,22.02.2024,915,3988
third,model2,30.03.2024,2219,1549
second,model3,20.04.2024,5249,4608
first,model1,11.03.2024,4064,2365
first,model2,25.04.2024,3800,7379
first,model2,09.01.2024,9144,9977
second,model1,27.02.2024,1419,7033
third,model2,11.04.2024,3293,7540
second,model3,21.01.2024,753,3737
first,model2,11.05.2024,8133,2177
third,model2,23.01.2024,9980,7829
second,model2,17.01.2024,6138,9485
third,model2,07.03.2024,7221,3545
second,model3,23.04.2024,7796,1978
second,model3,05.02.2024,2085,3255
third,model3,14.03.2024,4279,3038
third,model3,18.03.2024,4955,7285
first,model2,02.05.2024,9267,524
second,model1,28.02.2024,3320,2028
first,model1,09.04.2024,6762,4896
third,model1,05.05.2024,9390,8860
third,model3,02.02.2024,5768,8556
third,model3,30.01.2024,136,2390
third,model3,17.04.2024,1593,1229
first,model3,10.03.2024,22,265
first,model1,05.04.2024,8666,9716
third,model3,12.03.2024,686,9157
second,model3,28.04.2024,4541,5639
first,model1,06.02.2024,8747,9635
third,model1,23.03.2024,6734,7121
third,model2,13.04.2024,2762,3824
first,model3,26.03.2024,3597,349
first,model3,22.04.2024,9773,5750
third,model2,27.04.2024,6087,4934
third,model2,01.02.2024,6371,5039
third,model3,04.02.2024,7202,5483
first,model1,26.04.2024,6556,7890
third,model1,23.02.2024,4090,5381
third,model3,22.01.2024,5940,6852
second,model3,29.02.2024,4858,4566
third,model3,09.02.2024,2559,2298
third,model1,09.04.2024,2249,8533
second,model1,11.01.2024,9841,5592
third,model1,22.01.2024,7958,6204
second,model2,13.04.2024,5611,1530
second,model2,30.04.2024,6424,5699
second,model3,08.02.2024,5848,4416
second,model1,08.01.2024,8061,2491
first,model2,18.02.2024,435,7708
second,model2,02.05.2024,4911,91
third,model3,26.01.2024,2252,3628
first,model3,11.05.2024,3263,8227
third,model2,02.05.2024,2240,3734
first,model2,19.03.2024,3175,3846
first,model2,10.04.2024,1167,1240
third,model2,28.03.2024,429,6737
first,model2,14.05.2024,4694,6764
second,model1,06.02.2024,1617,5380
second,model3,23.04.2024,318,921
third,model2,05.03.2024,7743,2723
first,model1,30.04.2024,2094,3746
second,model1,04.02.2024,2259,8745
second,model1,30.01.2024,2469,1658
first,model3,31.03.2024,9212,649
first,model3,14.05.2024,5356,3981
second,model1,09.02.2024,860,6804
first,model3,12.03.2024,185,3262
first,model3,05.03.2024,7956,2910
second,model1,23.02.2024,1824,2120
third,model1,10.05.2024,6989,4024
second,model1,07.04.2024,1241,926
second,model3,08.05.2024,2664,7274
second,model3,04.05.2024,6828,73
first,model1,19.04.2024,8418,983
second,model2,26.02.2024,7456,3667
second,model3,23.03.2024,6079,1424
third,model1,08.02.2024,1612,4180
third,model1,03.03.2024,2190,3917
second,model1,10.05.2024,3834,3021
second,model2,15.03.2024,3267,7978
third,model1,28.03.2024,3075,902
first,model2,27.02.2024,9146,763
second,model2,08.02.2024,2218,7760
first,model1,12.05.2024,6575,8753
third,model3,13.03.2024,6531,5123
first,model3,12.03.2024,6666,1300
second,model2,16.02.2024,88,5066
third,model3,08.01.2024,2085,2162
third,model3,14.01.2024,9209,1823
third,model3,15.05.2024,808,2955
second,model2,10.05.2024,4853,3306
first,model2,31.01.2024,7272,1218
third,model3,24.02.2024,5366,4163
third,model3,31.03.2024,2482,8746
first,model1,07.02.2024,888,7978
first,model3,15.03.2024,5374,638
first,model3,06.04.2024,1961,6852
third,model3,04.01.2024,84,785
third,model3,03.02.2024,4701,5297
second,model3,20.02.2024,1095,7773
second,model1,23.04.2024,746,6798
first,model1,10.03.2024,5602,3910
third,model2,31.03.2024,6828,3273
second,model1,03.02.2024,3083,4951
first,model1,28.02.2024,5449,8902
third,model2,16.03.2024,3126,2973
first,model2,04.02.2024,7169,9509
second,model2,25.01.2024,9802,1748
first,model2,22.01.2024,9323,2623
second,model2,07.05.2024,4997,9109
first,model3,30.04.2024,3860,370
second,model2,27.01.2024,622,2394
first,model2,18.03.2024,2704,8710
first,model3,28.03.2024,1760,5386
first,model3,01.01.2024,2463,2808
third,model2,30.03.2024,7978,8401
third,model1,21.02.2024,4735,298
third,model3,09.03.2024,7120,1225
third,model2,18.04.2024,5982,4450
first,model1,17.02.2024,8103,2600
first,model1,05.01.2024,4607,5287
first,model3,13.02.2024,1636,1825
second,model2,25.02.2024,4035,444
first,model2,10.03.2024,5088,8270
second,model2,16.03.2024,2357,2684
second,model1,30.03.2024,9466,8448
third,model2,31.01.2024,9803,6228
first,model3,30.03.2024,7131,8792
second,model3,29.03.2024,6918,6157
first,model2,01.04.2024,5673,800
first,model3,09.03.2024,1237,8579
third,model2,10.01.2024,8847,3535
third,model1,04.03.2024,6962,7555
second,model1,08.02.2024,7938,8277
third,model3,01.02.2024,4437,2549
first,model1,04.03.2024,3682,3795
third,model2,26.02.2024,165,4148
third,model2,29.01.2024,8330,186
second,model2,28.01.2024,692,7945
first,model2,27.02.2024,4649,277
second,model2,11.05.2024,3382,397
third,model3,23.02.2024,8895,5112
second,model2,29.04.2024,1956,4008
second,model1,12.01.2024,4628,4385
second,model3,18.01.2024,5281,5319
second,model3,11.05.2024,2715,7196
third,model2,11.03.2024,1286,2061
third,model2,28.03.2024,1053,3614
second,model2,03.04.2024,8061,4241
second,model3,25.01.2024,823,7396
first,model3,27.03.2024,5279,9283
first,model1,08.04.2024,782,5709
first,model3,10.03.2024,5667,6561
second,model3,03.01.2024,117,4570
third,model3,03.01.2024,7700,1708
first,model2,28.03.2024,2254,2824
third,model1,22.02.2024,2321,6497
third,model1,09.01.2024,9306,447
third,model2,05.01.2024,1374,7336
third,model2,04.04.2024,1820,2445
first,model1,28.01.2024,7346,9652
third,model3,03.01.2024,2157,5052
second,model3,15.02.2024,6652,8701
third,model3,24.04.2024,3577,3979
second,model2,19.02.2024,5719,481
first,model2,09.04.2024,3012,9883
third,model2,12.01.2024,2232,7172
second,model2,05.05.2024,6035,8497
second,model3,12.02.2024,8546,6465
third,model2,04.01.2024,3950,9121
second,model1,15.02.2024,5032,6964
third,model2,30.01.2024,1916,8753
first,model2,23.01.2024,1681,6439
second,model2,25.01.2024,607,832
second,model3,06.03.2024,2734,8229
second,model3,22.04.2024,5736,5911
first,model3,04.04.2024,5978,9760
first,model1,28.02.2024,8877,3914
first,model1,12.05.2024,7637,2661
third,model1,14.04.2024,8624,660
second,model1,23.03.2024,3680,7628
first,model2,27.02.2024,8717,7884
second,model3,03.05.2024,1718,2870
second,model2,03.05.2024,9718,6152
second,model2,13.03.2024,1420,8847
second,model2,06.02.2024,6714,6551
first,model1,08.02.2024,6023,3522
third,model3,29.01.2024,3239,9996
second,model1,25.02.2024,1763,3512
third,model2,26.03.2024,2992,3791
third,model1,21.02.2024,5876,63
first,model3,31.03.2024,4999,1332
third,model1,05.05.2024,8140,6048
second,model2,19.04.2024,4559,6137
second,model2,04.02.2024,5858,6058
second,model3,17.02.2024,4940,2514
second,model3,30.04.2024,4377,5921
third,model3,17.03.2024,7643,6186
first,model3,31.03.2024,1310,8012
second,model3,10.02.2024,5346,6079
first,model2,14.02.2024,62,8053
second,model1,04.03.2024,7209,1392
first,model2,30.04.2024,1011,9788
third,model3,15.01.2024,1350,2741
first,model2,20.04.2024,8956,1216
first,model1,28.01.2024,6786,5580
first,model2,22.03.2024,2109,3075
second,model2,04.02.2024,5755,5931
first,model3,20.03.2024,3240,3474
third,model3,06.03.2024,5759,7208
second,model3,13.05.2024,7944,4147
third,model1,07.02.2024,255,6287
second,model1,04.01.2024,2206,5505
first,model2,13.04.2024,8394,435
first,model3,07.02.2024,3502,1778
second,model3,29.03.2024,7561,4090
third,model1,06.02.2024,970,4671
first,model2,11.02.2024,4453,1582
second,model2,18.03.2024,4984,7645
second,model1,09.01.2024,2948,742
third,model2,11.05.2024,6402,209
second,model2,01.04.2024,3252,8167
first,model1,28.03.2024,943,8607
third,model2,14.05.2024,2175,2113
second,model3,07.05.2024,2289,3393
first,model3,22.01.2024,9445,2694
second,model2,01.04.2024,6493,3773
first,model3,20.01.2024,5923,4027
third,model1,07.05.2024,2652,3834
second,model3,11.04.2024,2886,6216
second,model1,27.03.2024,8340,2664
first,model1,15.03.2024,6494,265
first,model3,24.01.2024,5906,5953
second,model1,22.03.2024,6963,6103
third,model3,10.01.2024,7765,6552
first,model1,28.01.2024,3966,315
second,model2,13.04.2024,1584,513
third,model2,08.01.2024,2707,2910
first,model3,27.02.2024,8958,657
first,model1,23.01.2024,1478,4911
third,model2,04.04.2024,2586,6736
first,model1,02.04.2024,5159,868
second,model2,04.01.2024,608,8914
first,model1,21.04.2024,8910,4147
second,model1,03.05.2024,4924,3111
second,model1,15.05.2024,5205,1176
first,model2,17.01.2024,1452,6277
second,model2,25.02.2024,3708,6338
first,model2,05.01.2024,835,693
second,model2,04.03.2024,2064,4052
third,model1,23.03.2024,9819,3356
second,model3,16.01.2024,8349,5086
first,model1,29.01.2024,89,6316
first,model2,15.04.2024,7028,5101
first,model1,19.02.2024,8955,6859
third,model1,21.02.2024,4311,7452
first,model3,16.03.2024,9166,7553
third,model2,01.04.2024,2055,313
first,model3,02.02.2024,1972,656
first,model2,29.04.2024,8695,5734
third,model2,17.03.2024,4378,1260
second,model1,28.01.2024,883,9421
first,model2,13.05.2024,7411,2245
third,model3,09.03.2024,2620,2402
second,model1,11.05.2024,2144,5709
second,model1,22.02.2024,8405,6543
second,model2,13.01.2024,2270,5375
first,model1,23.01.2024,8893,9426
first,model2,25.02.2024,7237,7910
first,model1,13.03.2024,9213,5480
first,model3,14.04.2024,332,6158
first,model1,06.02.2024,6001,1017
third,model2,11.03.2024,2156,2898
second,model1,10.03.2024,1557,7899
first,model2,22.03.2024,7913,3441
second,model3,30.03.2024,8627,815
third,model3,23.01.2024,4318,513
third,model3,06.05.2024,91,8266
first,model2,21.01.2024,101,1447
third,model3,26.01.2024,1931,4486
second,model1,23.02.2024,7176,9785
second,model1,06.05.2024,103,216
first,model2,27.04.2024,3633,9893
first,model1,10.02.2024,1349,6226
third,model1,28.03.2024,265,7009
third,model2,19.01.2024,5563,6818
first,model2,05.03.2024,3692,8764
third,model3,22.04.2024,6501,5398
first,model3,01.05.2024,820,7265
second,model3,05.01.2024,8661,3150
second,model3,24.04.2024,6238,4754
third,model2,13.02.2024,7637,563
second,model2,08.05.2024,4017,582
first,model1,09.01.2024,778,8252
second,model1,21.04.2024,9901,9307
first,model2,04.04.2024,405,7743
first,model2,03.04.2024,9229,1259
third,model2,09.01.2024,3555,7661
first,model1,26.02.2024,9516,8504
second,model1,23.03.2024,6920,39
third,model1,30.04.2024,2636,2971
first,model1,06.01.2024,8431,4732
first,model3,02.05.2024,4939,6834
third,model2,22.01.2024,1279,9263
third,model1,22.02.2024,8140,3422
second,model2,19.02.2024,2456,7562
second,model1,23.03.2024,9137,2822
third,model2,12.05.2024,4628,862
first,model2,05.05.2024,7153,5977
second,model3,11.04.2024,501,9406
first,model3,05.02.2024,3372,8461
third,model2,08.04.2024,9056,9273
third,model2,28.04.2024,8691,9727
first,model2,05.01.2024,9310,9751
first,model3,08.04.2024,5420,1075
third,model2,22.01.2024,7255,5866
third,model1,09.05.2024,1646,1682
third,model1,04.01.2024,6429,1914
first,model1,19.02.2024,2153,7090
first,model2,06.02.2024,3380,5473
second,model2,20.01.2024,8532,7383
third,model1,19.02.2024,8548,3207
first,model3,25.03.2024,3450,8023
second,model2,22.01.2024,5869,7837
second,model3,08.05.2024,7683,8731
third,model3,19.04.2024,3582,7354
second,model1,01.01.2024,136,8736
third,model1,03.01.2024,1063,3692
first,model3,09.05.2024,6179,6644
first,model3,06.05.2024,4974,5704
second,model2,19.04.2024,1549,3742
second,model2,04.02.2024,8773,7934
third,model2,04.04.2024,1391,6292
third,model1,16.04.2024,5736,7238
first,model1,30.01.2024,9549,5632
second,model3,26.01.2024,2615,6758
first,model1,01.04.2024,1597,4067
first,model2,25.02.2024,2024,612
second,model3,22.02.2024,5999,1255
second,model3,12.02.2024,7115,8845
third,model1,02.02.2024,7976,6820
third,model2,19.03.2024,5584,4523
first,model2,08.04.2024,8236,2336
second,model1,09.02.2024,519,5056
first,model2,13.04.2024,8334,3720
third,model1,11.05.2024,1726,294
third,model2,25.02.2024,6447,6801
second,model1,19.02.2024,8183,5875
third,model1,21.04.2024,7938,6526
second,model3,15.02.2024,2446,8494
second,model3,02.04.2024,7624,8853
second,model3,04.03.2024,5586,5606
second,model2,26.04.2024,3303,3748
third,model3,07.05.2024,2027,7385
first,model2,27.01.2024,5194,8558
first,model3,10.05.2024,5113,6729
second,model2,24.03.2024,9428,5342
third,model3,19.03.2024,456,508
first,model1,10.03.2024,7566,3037
first,model2,15.05.2024,8506,9257
first,model1,24.03.2024,6661,672
third,model3,14.01.2024,4201,9119
third,model2,05.02.2024,6200,7230
second,model1,29.01.2024,5823,2860
second,model3,07.02.2024,719,2408
third,model3,15.03.2024,151,8059
first,model2,11.04.2024,7804,8280
first,model3,28.02.2024,5542,6691
second,model2,18.01.2024,4462,7121
second,model3,22.04.2024,3552,790
second,model1,11.04.2024,7773,4345
second,model2,28.02.2024,6899,4763
third,model2,12.04.2024,2608,4442
first,model3,07.02.2024,3102,6747
third,model3,20.01.2024,7849,8880
first,model2,24.03.2024,6727,2991
second,model2,07.04.2024,3950,22
second,model2,23.02.2024,3996,1338
second,model3,17.01.2024,1347,8300
second,model1,19.01.2024,895,6710
first,model3,11.03.2024,8655,6967
second,model1,27.02.2024,2589,2866
second,model1,31.03.2024,734,7104
first,model1,18.03.2024,1415,8240
first,model3,05.01.2024,3451,946
second,model2,13.03.2024,4679,6361
third,model2,16.05.2024,8972,6958
first,model3,24.01.2024,852,6977
third,model3,01.01.2024,642,1884
third,model3,08.02.2024,9037,3906
first,model1,01.04.2024,1287,9534
second,model2,09.05.2024,4134,666
first,model1,20.04.2024,3027,4184
second,model3,06.01.2024,8246,4304
third,model2,24.04.2024,6844,3737
first,model3,23.01.2024,3863,6423
first,model2,16.05.2024,3433,1758
third,model2,03.02.2024,116,8548
third,model1,05.01.2024,2799,8014
second,model2,14.02.2024,263,2054
third,model3,16.05.2024,343,2956
first,model2,20.01.2024,6480,855
third,model2,14.03.2024,2410,2863
third,model3,01.01.2024,7560,3451
third,model3,09.01.2024,309,3854
third,model2,20.04.2024,3251,6647
second,model2,23.02.2024,8464,2323
second,model1,12.01.2024,338,9111
third,model1,11.05.2024,9292,5881
second,model2,01.01.2024,2298,6191
third,model3,25.01.2024,7725,3565
first,model1,16.04.2024,667,5756
second,model2,29.03.2024,9336,8282
first,model2,09.03.2024,4426,4021
second,model1,16.03.2024,1887,5569
second,model2,06.05.2024,2123,3175
first,model3,02.01.2024,4625,4291
second,model3,29.02.2024,5063,7188
third,model3,20.04.2024,840,7761
second,model3,04.05.2024,2072,2312
first,model3,27.03.2024,5343,6032
third,model3,09.05.2024,9895,6424
first,model2,27.01.2024,6148,9949
second,model1,15.03.2024,6748,3692
first,model2,01.03.2024,9126,3720
second,model1,01.02.2024,8605,9706
first,model1,16.04.2024,6194,3722
third,model3,15.02.2024,5566,2345
first,model2,02.03.2024,5430,7565
first,model1,01.02.2024,3690,1062
first,model2,16.04.2024,9973,5271
third,model3,01.02.2024,330,2957
third,model1,16.04.2024,5933,9603
first,model2,20.03.2024,5596,5567
second,model1,17.02.2024,3401,1495
second,model2,11.05.2024,36,5967
second,model2,17.01.2024,9499,4829
third,model2,06.03.2024,941,4250
first,model2,07.02.2024,4308,9869
third,model2,26.04.2024,9073,7445
third,model3,16.01.2024,9949,1854
third,model1,18.04.2024,2749,3734
second,model1,18.04.2024,1372,6627
first,model3,13.04.2024,9273,6121
second,model2,06.04.2024,2902,7560
first,model1,01.02.2024,7337,6464
second,model3,04.05.2024,8124,2675
third,model3,03.01.2024,4927,1084
second,model1,23.04.2024,3408,1183
third,model1,12.01.2024,3625,7801
third,model2,17.04.2024,9356,6084
second,model2,02.03.2024,8249,8347
first,model1,16.01.2024,9653,7832
second,model3,02.02.2024,3010,215
second,model1,15.02.2024,5981,3812
second,model2,12.04.2024,7697,5303
first,model1,28.01.2024,6534,1088
second,model3,29.01.2024,8534,7254
first,model1,13.02.2024,668,3112
second,model1,26.04.2024,474,4970
first,model3,29.03.2024,2523,4208
second,model3,01.04.2024,1417,7538
first,model1,02.01.2024,3574,4682
third,model1,23.04.2024,6069,793
first,model1,08.05.2024,4132,1723
third,model2,04.05.2024,6786,2803
third,model2,25.01.2024,9874,2989
second,model2,17.02.2024,6452,2052
second,model2,08.02.2024,1703,9361
third,model3,24.03.2024,574,9315
third,model2,23.01.2024,4142,7294
third,model3,18.03.2024,4471,425
first,model3,04.01.2024,9398,8839
second,model3,01.01.2024,4601,9234
third,model1,03.05.2024,5427,3067
first,model2,17.04.2024,6954,3626
third,model3,08.05.2024,2090,4405
first,model3,02.05.2024,5420,7053
third,model1,03.02.2024,6819,8479
third,model3,23.03.2024,1052,4640
first,model3,15.04.2024,8802,9582
third,model2,15.02.2024,5372,9070
third,model1,15.04.2024,6768,2048
third,model1,15.05.2024,6932,5727
second,model1,06.04.2024,7417,2101
second,model1,12.05.2024,8636,9269
first,model3,24.01.2024,756,1784
first,model2,03.04.2024,2136,6535
first,model2,11.02.2024,3994,8680
first,model1,12.02.2024,3496,1463
first,model3,05.04.2024,1557,802
first,model1,13.02.2024,2458,8557
first,model2,09.03.2024,3242,1004
second,model1,14.01.2024,4369,1392
third,model1,10.03.2024,9575,5029
second,model2,28.01.2024,8021,4768
second,model1,29.01.2024,903,66
first,model3,02.04.2024,4655,5164
third,model1,30.03.2024,921,8987
first,model3,02.01.2024,7964,8708
first,model3,05.01.2024,7771,5009
third,model1,16.02.2024,7838,126
third,model3,03.04.2024,5717,4203
first,model2,26.03.2024,8277,3628
third,model2,04.02.2024,24,3899
second,model1,17.03.2024,3815,2049
first,model3,03.02.2024,5558,1837
second,model3,24.04.2024,5900,7195
first,model1,26.01.2024,4005,2168
second,model3,05.04.2024,8135,8234
